epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,20035.6,0.32721,0.4271,0.99687,0.9989,0.9996,0.995,0.97155,0.27774,0.14363,0.94523,0.00577311,0.00577311,0.00577311
70,20328.7,0.32722,0.42597,0.99534,0.99893,0.99963,0.995,0.97159,0.27752,0.14343,0.94514,0.0056704,0.0056704,0.0056704
71,20622.5,0.3263,0.42585,0.995,0.99892,0.99966,0.995,0.97128,0.27731,0.14297,0.94489,0.00556742,0.00556742,0.00556742
72,20916.6,0.32624,0.42031,0.99511,0.99891,0.99968,0.995,0.97118,0.27713,0.14292,0.94467,0.00546421,0.00546421,0.00546421
73,21208.7,0.32411,0.41652,0.99405,0.99893,0.9997,0.995,0.97127,0.27684,0.14315,0.94439,0.00536081,0.00536081,0.00536081
74,21501.4,0.32357,0.41729,0.99519,0.99896,0.99972,0.995,0.9715,0.27659,0.14296,0.94415,0.00525728,0.00525728,0.00525728
75,21793.6,0.3227,0.40749,0.99516,0.99898,0.99973,0.995,0.97164,0.27632,0.14286,0.94405,0.00515366,0.00515366,0.00515366
76,22085.5,0.31991,0.40816,0.99453,0.99897,0.99973,0.995,0.97153,0.27624,0.1428,0.94396,0.00505,0.00505,0.00505
77,22377.4,0.32011,0.39804,0.99147,0.99896,0.99974,0.995,0.97173,0.27601,0.1428,0.94368,0.00494634,0.00494634,0.00494634
78,22669.1,0.31759,0.39902,0.99228,0.99897,0.99975,0.995,0.97172,0.27586,0.14272,0.94347,0.00484272,0.00484272,0.00484272
79,22961.2,0.32017,0.39891,0.99377,0.99904,0.99976,0.995,0.97185,0.27571,0.14259,0.94329,0.00473919,0.00473919,0.00473919
80,23252.8,0.31502,0.39384,0.99047,0.99904,0.99978,0.995,0.97205,0.27559,0.14252,0.94316,0.00463579,0.00463579,0.00463579
81,23547.3,0.31436,0.38456,0.99128,0.99902,0.99978,0.995,0.97196,0.27543,0.14236,0.94304,0.00453258,0.00453258,0.00453258
82,23840.4,0.31248,0.38171,0.99202,0.99899,0.99978,0.995,0.972,0.2751,0.1424,0.94287,0.0044296,0.0044296,0.0044296
83,24154.3,0.31284,0.38361,0.99057,0.99902,0.99978,0.995,0.97203,0.27497,0.14241,0.94273,0.00432689,0.00432689,0.00432689
84,24457.2,0.31123,0.37791,0.9904,0.99903,0.99977,0.995,0.97199,0.27473,0.14222,0.94265,0.00422449,0.00422449,0.00422449
85,24755.6,0.31142,0.37848,0.99265,0.99904,0.99976,0.995,0.97215,0.27458,0.14212,0.94258,0.00412246,0.00412246,0.00412246
86,25051.5,0.31071,0.37842,0.99015,0.99901,0.99977,0.995,0.97237,0.27446,0.14179,0.94251,0.00402084,0.00402084,0.00402084
87,25346.7,inf,0.37376,0.99004,0.99905,0.99977,0.995,0.97263,0.27433,0.14157,0.94247,0.00391966,0.00391966,0.00391966
88,25639.4,0.3068,0.36805,0.98923,0.99908,0.99978,0.995,0.97269,0.27412,0.14171,0.94236,0.00381899,0.00381899,0.00381899
89,25968.8,0.30707,0.36311,0.98668,0.99908,0.99976,0.995,0.97238,0.27413,0.14196,0.94227,0.00371885,0.00371885,0.00371885
90,26339.6,0.30247,0.36364,0.98715,0.99908,0.99975,0.995,0.97263,0.27418,0.14192,0.94236,0.00361929,0.00361929,0.00361929
91,26727.8,0.30206,0.36237,0.98865,0.99907,0.99974,0.995,0.97266,0.27403,0.14153,0.94241,0.00352037,0.00352037,0.00352037
92,27074.3,0.30228,0.35464,0.98618,0.99908,0.99971,0.995,0.97281,0.27399,0.14179,0.94233,0.00342211,0.00342211,0.00342211
93,27394.8,0.29949,0.34784,0.98638,0.99904,0.9997,0.995,0.97268,0.27394,0.14183,0.94227,0.00332457,0.00332457,0.00332457
94,27714.1,0.30134,0.35208,0.98705,0.99906,0.99969,0.995,0.97255,0.2738,0.14172,0.94226,0.00322778,0.00322778,0.00322778
95,28016.1,0.29924,0.35104,0.98568,0.99907,0.99969,0.995,0.97242,0.27346,0.14159,0.94218,0.0031318,0.0031318,0.0031318
96,28317,0.29992,0.34858,0.98688,0.99909,0.99968,0.995,0.97251,0.27329,0.14151,0.94213,0.00303665,0.00303665,0.00303665
97,28616.2,0.29562,0.34324,0.985,0.99909,0.99969,0.995,0.97269,0.27322,0.14175,0.94206,0.00294239,0.00294239,0.00294239
98,28920.7,0.29415,0.338,0.98289,0.99909,0.9997,0.995,0.97309,0.2731,0.14184,0.942,0.00284906,0.00284906,0.00284906
99,29251.1,0.29272,0.33925,0.98387,0.9991,0.9997,0.995,0.97325,0.27297,0.1419,0.94191,0.00275668,0.00275668,0.00275668
100,29588,0.29255,0.33626,0.98372,0.99911,0.9997,0.995,0.97315,0.2728,0.14177,0.94176,0.00266532,0.00266532,0.00266532
101,29925.3,0.29216,0.3317,0.98301,0.99911,0.9997,0.995,0.97333,0.27267,0.14162,0.94162,0.002575,0.002575,0.002575
102,30263.2,0.2895,0.32851,0.98294,0.99912,0.9997,0.995,0.97333,0.27259,0.14166,0.94157,0.00248577,0.00248577,0.00248577
103,30600.3,0.28746,0.32245,0.98163,0.99914,0.9997,0.995,0.97351,0.27242,0.14167,0.94147,0.00239766,0.00239766,0.00239766
104,30937.1,0.28948,0.32576,0.98245,0.99914,0.99971,0.995,0.97338,0.27225,0.14167,0.94135,0.00231071,0.00231071,0.00231071
105,31274.3,0.2873,0.318,0.98276,0.99919,0.99971,0.995,0.97367,0.27214,0.14161,0.94126,0.00222497,0.00222497,0.00222497
106,31611.6,0.2848,0.3195,0.98116,0.99919,0.99973,0.995,0.97382,0.27192,0.14161,0.94116,0.00214046,0.00214046,0.00214046
107,31949.7,0.28365,0.31401,0.9807,0.99918,0.99976,0.995,0.97381,0.27166,0.14158,0.941,0.00205723,0.00205723,0.00205723
108,32288.7,0.28249,0.31254,0.9793,0.99918,0.99976,0.995,0.97389,0.27153,0.14164,0.94089,0.00197532,0.00197532,0.00197532
109,32626.7,0.28227,0.30935,0.98018,0.99917,0.99976,0.995,0.97385,0.27132,0.14163,0.94075,0.00189475,0.00189475,0.00189475
110,32968.7,0.28233,0.30512,0.98046,0.99916,0.99976,0.995,0.97399,0.27115,0.14164,0.94061,0.00181557,0.00181557,0.00181557
111,33311.9,0.27801,0.30034,0.97817,0.99917,0.99976,0.995,0.97392,0.2709,0.14157,0.94057,0.0017378,0.0017378,0.0017378
112,33653.9,0.27824,0.3042,0.97854,0.99916,0.99976,0.995,0.97401,0.27073,0.14147,0.94052,0.00166149,0.00166149,0.00166149
113,34005.2,0.27569,0.29722,0.97775,0.99917,0.99976,0.995,0.97432,0.27057,0.14172,0.9405,0.00158667,0.00158667,0.00158667
114,34346.6,0.27464,0.29789,0.97654,0.99916,0.99976,0.995,0.97415,0.27048,0.1421,0.94045,0.00151336,0.00151336,0.00151336
115,34659.6,0.27497,0.29172,0.97821,0.99916,0.99976,0.995,0.97418,0.27045,0.14239,0.94041,0.00144161,0.00144161,0.00144161
116,34974.8,0.27545,0.29489,0.97777,0.99917,0.99975,0.995,0.974,0.27039,0.1424,0.94033,0.00137143,0.00137143,0.00137143
117,35289.2,0.27447,0.29043,0.97762,0.99916,0.99975,0.995,0.97403,0.27041,0.14268,0.94028,0.00130287,0.00130287,0.00130287
118,35617,0.26987,0.28723,0.97591,0.99918,0.99975,0.995,0.97403,0.27041,0.14295,0.94027,0.00123596,0.00123596,0.00123596
119,35934.2,0.2673,0.28786,0.97293,0.99917,0.99975,0.995,0.97404,0.27031,0.14323,0.94021,0.00117072,0.00117072,0.00117072
120,36245.8,0.26958,0.28517,0.97563,0.99918,0.99975,0.995,0.97408,0.27018,0.14322,0.94013,0.00110718,0.00110718,0.00110718
121,36550.8,0.26693,0.28027,0.97472,0.99918,0.99975,0.995,0.97421,0.27007,0.1433,0.94012,0.00104537,0.00104537,0.00104537
122,36855.1,0.2691,0.28029,0.97442,0.99918,0.99976,0.995,0.97427,0.26992,0.14345,0.9401,0.000985311,0.000985311,0.000985311
123,37232.9,0.26622,0.27812,0.97344,0.99918,0.99975,0.995,0.97427,0.26979,0.14358,0.94009,0.00092704,0.00092704,0.00092704
124,37592.1,0.26534,0.28019,0.97424,0.99919,0.99975,0.995,0.97403,0.26965,0.1439,0.93997,0.000870577,0.000870577,0.000870577
125,37943.7,0.26414,0.27266,0.97272,0.99918,0.99975,0.995,0.974,0.26962,0.14407,0.93987,0.000815947,0.000815947,0.000815947
126,38294.4,0.26207,0.27267,0.97126,0.99918,0.99975,0.995,0.97426,0.26958,0.14415,0.93983,0.000763174,0.000763174,0.000763174
127,38641.1,0.26411,0.27298,0.97313,0.99917,0.99975,0.995,0.97431,0.26961,0.14425,0.93985,0.000712282,0.000712282,0.000712282
128,38990.2,0.25873,0.26852,0.97066,0.99917,0.99975,0.995,0.97419,0.26958,0.14423,0.93983,0.000663292,0.000663292,0.000663292
129,39336.6,0.26085,0.26847,0.97172,0.99916,0.99975,0.995,0.97403,0.26952,0.14457,0.93981,0.000616227,0.000616227,0.000616227
130,39671.6,0.26199,0.26421,0.97125,0.99916,0.99975,0.995,0.97412,0.26946,0.14464,0.93977,0.000571106,0.000571106,0.000571106
131,40035.8,0.25888,0.26518,0.97293,0.99915,0.99975,0.995,0.97387,0.26929,0.14447,0.93975,0.00052795,0.00052795,0.00052795
132,40395.9,0.25993,0.26207,0.97402,0.99914,0.99975,0.995,0.9741,0.26926,0.14463,0.93973,0.000486777,0.000486777,0.000486777
133,40747.2,0.25907,0.26114,0.9696,0.99915,0.99975,0.995,0.97395,0.26919,0.14485,0.93965,0.000447606,0.000447606,0.000447606
134,41073.7,0.25767,0.26028,0.97155,0.99915,0.99975,0.995,0.97403,0.26912,0.14475,0.93966,0.000410454,0.000410454,0.000410454
135,41433.5,0.25737,0.25802,0.9706,0.99915,0.99975,0.995,0.97385,0.26906,0.14463,0.93962,0.000375337,0.000375337,0.000375337
136,41786.8,0.25568,0.25795,0.97039,0.99915,0.99975,0.995,0.97371,0.26897,0.14492,0.93954,0.00034227,0.00034227,0.00034227
137,42136.3,0.25786,0.25637,0.97028,0.99919,0.99975,0.995,0.97382,0.26892,0.14512,0.93949,0.000311268,0.000311268,0.000311268
138,308.526,0.2662,0.28254,0.97483,0.99919,0.99975,0.995,0.97381,0.26889,0.14511,0.93948,0.000282345,0.000282345,0.000282345
